File,Classification,Score,Smells
base_checker.py,clean,0.25,switch_stmt
clear_lru_cache.py,clean,0.0,
dataclass_checker.py,potential,0.4,"switch_stmt, dead_code"
deprecated.py,potential,0.4,"switch_stmt, dead_code"
design_analysis.py,potential,0.4,"switch_stmt, dead_code"
dunder_methods.py,clean,0.15,dead_code
ellipsis_checker.py,clean,0.15,dead_code
exceptions.py,potential,0.4,"switch_stmt, dead_code"
format.py,clean,0.25,switch_stmt
imports.py,potential,0.4,"switch_stmt, dead_code"
lambda_expressions.py,potential,0.4,"switch_stmt, dead_code"
logging.py,potential,0.4,"switch_stmt, dead_code"
method_args.py,potential,0.4,"switch_stmt, dead_code"
misc.py,clean,0.25,switch_stmt
modified_iterating_checker.py,potential,0.4,"switch_stmt, dead_code"
nested_min_max.py,potential,0.4,"switch_stmt, dead_code"
newstyle.py,potential,0.4,"switch_stmt, dead_code"
non_ascii_names.py,clean,0.15,dead_code
raw_metrics.py,clean,0.25,switch_stmt
spelling.py,potential,0.4,"switch_stmt, dead_code"
stdlib.py,potential,0.4,"switch_stmt, dead_code"
strings.py,potential,0.4,"switch_stmt, dead_code"
symilar.py,clean,0.25,switch_stmt
threading_checker.py,clean,0.15,dead_code
typecheck.py,potential,0.4,"switch_stmt, dead_code"
